target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Lake Shore Gold Corporation,SPTRD209663,2016-02-08 00:00:00,M&A - Whole,Completed,816.763574805535,Tahoe Resources Inc. (:TAHO),Lake Shore Gold Corporation (:LSG),Gold,100.0,3.55352244284261,79.0920724075268,816.763574805535,Yes,9.55,,United States and Canada,Tahoe Resources Inc. (Public Company),,materials
LeaGold Mining Corporation,SPTRD1669439,2019-12-16 00:00:00,M&A - Whole,Completed,989.766731111534,Equinox Gold Corp. (TSX:EQX),Leagold Mining Corporation (:LMC),Gold,100.0,2.25977736436386,104.122750380112,989.766731111534,Yes,8.02,Leagold Mining Corporation (Public Company),United States and Canada,Equinox Gold Corp. (Public Company),Leagold Mining Corporation (Public Company),materials
MAG Silver Corp.,SPTRD2146558,2025-05-11 00:00:00,M&A - Whole,Completed,2398.468219,Pan American Silver Corp. (TSX:PAAS),MAG Silver Corp. (:MAG),Silver,100.0,,,2398.468219,Yes,21.66,,United States and Canada,Pan American Silver Corp. (Public Company),,materials
Maverix Metals Inc.,SPTRD1992617,2022-11-10 00:00:00,M&A - Whole,Completed,724.988833,Triple Flag Precious Metals Corp. (TSX:TFPM),Maverix Metals Inc. (:MMX),Gold,100.0,9.93215009895208,39.817,724.988833,Yes,15.38,,United States and Canada,Triple Flag Precious Metals Corp. (Public Company),,materials
Nevsun Resources Limited,SPTRD1478888,2018-09-05 00:00:00,M&A - Whole,Completed,1414.26788,Zijin Mining Group Company Limited (SHSE:601899),Nevsun Resources Limited (:NSU),Copper,98.94,4.26602868449741,59.981,1414.26788,Yes,16.62,,United States and Canada,Zijin Mining Group Company Limited (Public Company),,materials
New Gold Inc.,SPTRD2176830,2025-11-03 00:00:00,M&A - Whole,Completed,7592.55332,"Coeur Mining, Inc. (NYSE:CDE)",New Gold Inc. (TSX:NGD),Gold,100.0,5.75740121478023,579.2,7592.55332,Yes,12.35,,United States and Canada,"Coeur Mining, Inc. (Public Company)",,materials
Newmont Mining Corporation,SPTRD1546113,2019-02-25 00:00:00,M&A - Whole,Terminated/Withdrawn,18651.916117,Barrick Mining Corporation (TSX:ABX),Newmont Corporation (NYSE:NEM),Gold,100.0,2.57161396897835,,18651.916117,Yes,9.01,Newmont Corporation (Public Company),United States and Canada,Barrick Mining Corporation (Public Company),Newmont Corporation (Public Company),materials
North American Palladium Limited,SPTRD1624076,2019-10-07 00:00:00,M&A - Whole,Completed,706.745169220592,Impala Platinum Holdings Limited (JSE:IMP),Brookfield Corporation (TSX:BN),Precious Metals and Minerals,100.0,1.73751514264404,193.855164057907,706.745169220592,Yes,3.62,,United States and Canada,Impala Platinum Holdings Limited (Public Company),Brookfield Corporation (Public Company),materials
Panoramic Resources Limited,SPTRD1643233,2019-11-04 00:00:00,M&A - Whole,Terminated/Withdrawn,243.684017706912,IGO Limited (ASX:IGO),Panoramic Resources Limited (:PANR.F),Diversified Metals and Mining,96.191,14.5331721487735,,243.684017706912,Yes,21.77,,Asia-Pacific,IGO Limited (Public Company),,materials
Randgold Resources Limited,SPTRD1484915,2018-09-24 00:00:00,M&A - Whole,Completed,7621.922322,Barrick Mining Corporation (TSX:ABX),Barrick Gold (Holdings) Limited (:RRS),Gold,100.0,5.05225968500599,491.494,7621.922322,Yes,10.59,,Europe,Barrick Mining Corporation (Public Company),,materials
Richmont Mines Incorporated,SPTRD756440,2017-09-11 00:00:00,M&A - Whole,Completed,560.505468609492,Alamos Gold Inc. (TSX:AGI),Richmont Mines Incorporated (:RIC),Gold,100.0,4.61667712541669,47.9394926114384,560.505468609492,Yes,15.46,,United States and Canada,Alamos Gold Inc. (Public Company),,materials
Rio Alto Mining Limited,SPTRD200191,2015-02-09 00:00:00,M&A - Whole,Completed,829.637626563547,Tahoe Resources Inc. (:TAHO),Rio Alto Mining Limited (:RIO),Copper,100.0,5.02112813600189,133.254939683171,829.637626563547,Yes,9.23,,United States and Canada,Tahoe Resources Inc. (Public Company),,materials
"Rockwood Holdings, Inc.",SPTRD197848,2014-07-15 00:00:00,M&A - Whole,Completed,6447.98105,Albemarle Corporation (NYSE:ALB),"Rockwood Holdings, Inc. (:ROC)",Specialty Chemicals,100.0,,335.6,6447.98105,Yes,21.72,,United States and Canada,Albemarle Corporation (Public Company),,materials
Round Oak Minerals Pty Limited,SPTRD1957188,2022-04-28 00:00:00,M&A - Whole,Completed,149.5797161911,Aeris Resources Limited (ASX:AIS),WHSP Holdings Limited (ASX:SOL),Diversified Metals and Mining,100.0,0.61438585469251,71.9874392699627,149.5797161911,Yes,2.26,,Asia-Pacific,Aeris Resources Limited (Public Company),WHSP Holdings Limited (Public Company),materials
Royal Bafokeng Platinum Limited,SPTRD2036672,2023-07-20 00:00:00,M&A - Whole,Completed,1198.59508269333,Impala Platinum Holdings Limited (JSE:IMP),Northam Platinum Holdings Limited (JSE:NPH),Precious Metals and Minerals,34.52,2.20590469389679,352.009179093503,1198.59508269333,Yes,5.19,,Africa,Impala Platinum Holdings Limited (Public Company),Northam Platinum Holdings Limited (Public Company),materials
Sabina Gold & Silver Corp.,SPTRD2010001,2023-02-13 00:00:00,M&A - Whole,Completed,924.421193028393,B2Gold Corp. (TSX:BTO),Sabina Gold & Silver Corp. (:SBB),Gold,100.0,,-12.3648017551628,924.421193028393,Yes,24.82,,United States and Canada,B2Gold Corp. (Public Company),,materials
SEMAFO Inc.,SPTRD1718989,2020-03-23 00:00:00,M&A - Whole,Completed,1182.48926206044,Endeavour Mining plc (TSX:EDV),SEMAFO Inc. (:SMF),Gold,100.0,2.31105973095113,231.008939196844,1182.48926206044,Yes,3.34,,United States and Canada,Endeavour Mining plc (Public Company),,materials
"Shandong Humon Smelting Company, Limited",SPTRD1551849,2019-03-04 00:00:00,M&A - Minority,Completed,432.755407178504,Jiangxi Copper Company Limited (SEHK:358),"Yantai Humon Group Co., Ltd.",Gold,29.99,,95.3013740468215,432.755407178504,No,13.32,"Shandong Humon Smelting Co., Ltd. (Public Company)",Asia-Pacific,Jiangxi Copper Company Limited (Public Company),,materials
Silver Lake Resources Limited,SPTRD2065745,2024-02-05 00:00:00,M&A - Whole,Completed,825.345621066392,Vault Minerals Limited (ASX:VAU),Silver Lake Resources Limited (:SLR),Gold,100.0,1.11925652281457,,825.345621066392,Yes,3.26,,Asia-Pacific,Vault Minerals Limited (Public Company),,materials
SilverCrest Metals Inc.,SPTRD2107336,2024-10-04 00:00:00,M&A - Whole,Completed,1581.401122,"Coeur Mining, Inc. (NYSE:CDE)",SilverCrest Metals Inc. (:SILV),Precious Metals and Minerals,100.0,5.56450209293795,161.781,1581.401122,Yes,9.56,,United States and Canada,"Coeur Mining, Inc. (Public Company)",,materials
Sirius Minerals Plc,SPTRD1697393,2020-01-20 00:00:00,M&A - Whole,Completed,862.767500979118,Anglo American plc (LSE:AAL),Anglo American Woodsmith Limited (:SXX),Fertilizers and Agricultural Chemicals,100.0,,108.377582279365,862.767500979118,Yes,8.39,,Europe,Anglo American plc (Public Company),,materials
Tahoe Resources Inc.,SPTRD203125,2015-06-15 00:00:00,M&A - Minority,Completed,806.906212,,Goldcorp Incorporated (:G),Gold,25.6,9.06770622320452,138.523,806.906212,No,18.63,Tahoe Resources Inc. (Public Company),United States and Canada,,,materials
Teck Resources Limited,SPTRD2168160,2025-09-09 00:00:00,M&A - Whole,Announced,24279.9625995472,Anglo American plc (LSE:AAL),Teck Resources Limited (TSX:TECK.B),Diversified Metals and Mining,100.0,3.37302985296776,1607.5251391666,24279.9625995472,Yes,14.98,Teck Resources Limited (Public Company),United States and Canada,Anglo American plc (Public Company),Teck Resources Limited (Public Company),materials
Teranga Gold Corporation,SPTRD1783856,2020-11-16 00:00:00,M&A - Whole,Completed,2149.920803,Endeavour Mining plc (TSX:EDV),Endeavour Canada Holdings Corporation (:TGZ),Gold,100.0,3.88706255012969,208.883,2149.920803,Yes,11.11,,United States and Canada,Endeavour Mining plc (Public Company),,materials
Thompson Creek Metals Company Inc.,SPTRD214114,2016-07-05 00:00:00,M&A - Whole,Completed,858.075562,Centerra Gold Inc. (TSX:CG),Thompson Creek Metals Company Inc. (:TCM),Diversified Metals and Mining,100.0,1.91135292377456,75.7,858.075562,Yes,11.69,,United States and Canada,Centerra Gold Inc. (Public Company),,materials
Toro Gold Limited,SPTRD1601849,2019-07-31 00:00:00,M&A - Whole,Completed,333.675971,Resolute Mining Limited (ASX:RSG),Toro Gold Limited,Gold,100.0,,60.98,333.675971,Yes,6.01,,Europe,Resolute Mining Limited (Public Company),,materials
Trident Royalties Plc,SPTRD2087199,2024-06-13 00:00:00,M&A - Whole,Completed,215.160251970019,Deterra Royalties Limited (ASX:DRR),Trident Royalties Plc (:TRR),Precious Metals and Minerals,100.0,21.3769559232295,8.253,215.160251970019,Yes,24.66,,Europe,Deterra Royalties Limited (Public Company),,materials
Turquoise Hill Resources Ltd.,SPTRD1947635,2022-03-14 00:00:00,M&A - Minority,Completed,3121.99624033556,Rio Tinto Group (LSE:RIO); Rio Tinto International Holdings Limited,Turquoise Hill Resources Ltd. (:TRQ),Copper,49.214377,5.7860082919939,687.467,3121.99624033556,No,7.02,,United States and Canada,Rio Tinto Group (Public Company),,materials
United States Steel Corporation,SPTRD2039946,2023-08-13 00:00:00,M&A - Whole,Terminated/Withdrawn,8681.837836,Cleveland-Cliffs Inc. (NYSE:CLF),United States Steel Corporation (:X),Steel,100.0,0.456482351122562,,8681.837836,Yes,3.35,,United States and Canada,Cleveland-Cliffs Inc. (Public Company),,materials
US Silver Corp.,SPTRD171891,2012-07-25 00:00:00,M&A - Whole,Terminated/Withdrawn,100.03,Hecla Mining Company (NYSE:HL),Scorpio Mining Inc.,Silver,100.0,,,100.03,Yes,3.57,,United States and Canada,Hecla Mining Company (Public Company),,materials
Xstrata plc,SPTRD191652,2012-02-07 00:00:00,M&A - Whole,Completed,44942.175,Glencore plc (LSE:GLEN),Xstrata Limited (:XTA),Diversified Metals and Mining,65.92,,5430.0,44942.175,Yes,5.6,,Europe,Glencore plc (Public Company),,materials
Yamana Gold Inc.,SPTRD1963255,2022-05-31 00:00:00,M&A - Whole,Terminated/Withdrawn,8258.326033,Gold Fields Limited (JSE:GFI),Yamana Gold Inc. (:AUY),Gold,100.0,4.4997145060753,,8258.326033,Yes,9.43,,United States and Canada,Gold Fields Limited (Public Company),,materials
Yamana Gold Inc.,SPTRD1991553,2022-11-04 00:00:00,M&A - Whole,Completed,6589.036412,Agnico Eagle Mines Limited (NYSE:AEM); Pan American Silver Corp. (TSX:PAAS),Yamana Gold Inc. (:AUY),Gold,100.0,3.17528718223997,-1303.0,6589.036412,Yes,6.43,,United States and Canada,"Agnico Eagle Mines Limited (Public Company)

Pan American Silver Corp. (Public Company)",,materials
