target_name,transaction_id,"Announced Date
MM/dd/yyyy",transaction_type,transaction_status,transaction_value_usd_m,buyer_name,seller_name,gics_industry,pct_equity_acquired,"Implied Enterprise Value/ Total Revenue
(x)",target_ebitda_usd_m,"Total Transaction Value
($M).1",change_in_control,ev_ebitda_multiple,target_company_type,geography,buyer_company_type,"Company Type
(Seller)",sector_tag
Hembla AB (publ),SPTRD1675705,2019-09-23 00:00:00,M&A - Whole,Completed,1336.00291649268,HomeStar InvestCo AB,Blackstone Inc. (NYSE:BX),Diversified Real Estate Activities,61.19,12.993999439896,293.459214446079,1336.00291649268,Yes,5.58,,Europe,,Blackstone Inc. (Public Company),real estate
"HFF, Inc.",SPTRD1554359,2019-03-19 00:00:00,M&A - Whole,Completed,2687.334814,Jones Lang LaSalle Incorporated (NYSE:JLL),"HFF, Inc. (:HF)",Real Estate Services,100.0,3.30791919164891,195.5,2687.334814,Yes,11.64,,United States and Canada,Jones Lang LaSalle Incorporated (Public Company),,real estate
Hilton Worldwide Holdings Inc.,SPTRD217143,2016-10-24 00:00:00,M&A - Minority,Completed,6496.875,"HNA Group co., LTD",Blackstone Inc. (NYSE:BX),Hotel and Resort REITs,25.0,4.93049576447716,2523.0,6496.875,No,10.01,Hilton Worldwide Holdings Inc. (Public Company),United States and Canada,,Blackstone Inc. (Public Company),real estate
"Hispania Activos Inmobiliarios SOCIMI, S.A.",SPTRD1457395,2018-04-04 00:00:00,M&A - Whole,Completed,2643.24134358014,Blackstone Inc. (NYSE:BX),"Hispania Activos Inmobiliarios SOCIMI, S.A. (:HIS)",Diversified REITs,83.44,17.5361291164859,199.269065865774,2643.24134358014,Yes,11.53,,Europe,Blackstone Inc. (Public Company),,real estate
Industrial Property Trust Inc.,SPTRD1596454,2019-07-15 00:00:00,M&A - Whole,Completed,3791.658483,"Prologis, Inc. (NYSE:PLD)",Industrial Property Trust (:IDDP),Industrial REITs,100.0,14.8589501181921,-0.445,3791.658483,Yes,23.8,Industrial Property Trust (Public Company),United States and Canada,"Prologis, Inc. (Public Company)",Industrial Property Trust (Public Company),real estate
Industrials REIT Limited,SPTRD2020702,2023-04-03 00:00:00,M&A - Whole,Completed,815.131839470997,Blackstone Inc. (NYSE:BX),Industrials REIT Limited (:MLI),Diversified REITs,100.0,12.7510222368342,65.3600435757093,815.131839470997,Yes,12.53,,Europe,Blackstone Inc. (Public Company),,real estate
"Inland Diversified Real Estate Trust, Inc.",SPTRD192463,2014-02-10 00:00:00,M&A - Whole,Completed,2017.572,Kite Realty Group Trust (NYSE:KRG),"Inland Diversified Real Estate Trust, Inc.",Diversified REITs,100.0,,,2017.572,Yes,22.42,,United States and Canada,Kite Realty Group Trust (Public Company),,real estate
Kennedy Wilson Europe Real Estate Plc,SPTRD222320,2017-04-24 00:00:00,M&A - Whole,Completed,2721.99609690392,"Kennedy-Wilson Holdings, Inc. (NYSE:KW)",Kennedy Wilson Europe Real Estate Limited (:0N1S),Diversified REITs,76.35,10.8355513535912,116.832672829278,2721.99609690392,Yes,22.12,,Europe,"Kennedy-Wilson Holdings, Inc. (Public Company)",,real estate
"Kennedy-Wilson Holdings, Inc.",SPTRD2177196,2025-11-04 00:00:00,M&A - Whole,Announced,6299.5019,Fairfax Financial Holdings Limited (TSX:FFH),"Kennedy-Wilson Holdings, Inc. (NYSE:KW)",Real Estate Operating Companies,69.35,12.3308535785649,403.3,6299.5019,Yes,22.52,"Kennedy-Wilson Holdings, Inc. (Public Company)",United States and Canada,Fairfax Financial Holdings Limited (Public Company),"Kennedy-Wilson Holdings, Inc. (Public Company)",real estate
LaSalle Hotel Properties,SPTRD1418431,2018-03-28 00:00:00,M&A - Whole,Completed,4529.530371,Pebblebrook Hotel Trust (NYSE:PEB),LaSalle Hotel Properties (NYSE:LHO),Hotel and Resort REITs,90.208844,4.83755985494025,188.363,4529.530371,Yes,17.49,,United States and Canada,Pebblebrook Hotel Trust (Public Company),,real estate
LaSalle Hotel Properties,SPTRD1439223,2018-05-21 00:00:00,M&A - Whole,Terminated/Withdrawn,4838.453356,Blackstone Inc. (NYSE:BX),LaSalle Hotel Properties (NYSE:LHO),Hotel and Resort REITs,100.0,4.51502833152768,,4838.453356,Yes,14.87,,United States and Canada,Blackstone Inc. (Public Company),,real estate
"Life Storage, Inc.",SPTRD2009682,2023-02-05 00:00:00,M&A - Whole,Terminated/Withdrawn,14553.230427,Public Storage (NYSE:PSA),"Life Storage, Inc. (:LSI)",Self-Storage REITs,100.0,13.8946119270461,,14553.230427,Yes,21.64,,United States and Canada,Public Storage (Public Company),,real estate
"Life Storage, Inc.",SPTRD2018438,2023-04-03 00:00:00,M&A - Whole,Completed,14976.648737,Extra Space Storage Inc. (NYSE:EXR),"Life Storage, Inc. (:LSI)",Self-Storage REITs,100.0,14.7586235409706,691.265,14976.648737,Yes,23.21,,United States and Canada,Extra Space Storage Inc. (Public Company),,real estate
"MedEquities Realty Trust, Inc.",SPTRD1524338,2019-01-02 00:00:00,M&A - Whole,Completed,626.46161,"Omega Healthcare Investors, Inc. (NYSE:OHI)","MedEquities Realty Trust, Inc. (:MRT)",Health Care REITs,100.0,9.99583916525438,37.734,626.46161,Yes,13.76,,United States and Canada,"Omega Healthcare Investors, Inc. (Public Company)",,real estate
MGM Growth Properties LLC,SPTRD1897920,2021-08-04 00:00:00,M&A - Whole,Completed,18074.189464,VICI Properties Inc. (NYSE:VICI),MGM Growth Properties LLC (:MGP),Hotel and Resort REITs,100.0,20.0482607497777,870.757,18074.189464,Yes,19.97,,United States and Canada,VICI Properties Inc. (Public Company),,real estate
Monmouth Real Estate Investment Corporation,SPTRD1893411,2021-07-12 00:00:00,M&A - Whole,Terminated/Withdrawn,3431.900986,"Starwood Real Estate Income Trust, Inc. (OTCPK:SWDR)",Mountain Industrial REIT LLC (:MNR),Industrial REITs,100.0,19.2181535368695,,3431.900986,Yes,17.96,,United States and Canada,"Starwood Real Estate Income Trust, Inc. (Public Company)",,real estate
Monmouth Real Estate Investment Corporation,SPTRD1916155,2021-11-05 00:00:00,M&A - Whole,Completed,3711.000987,Industrial Logistics Properties Trust (NASDAQGS:ILPT),Mountain Industrial REIT LLC (:MNR),Industrial REITs,100.0,19.9914530138545,162.335,3711.000987,Yes,20.98,,United States and Canada,Industrial Logistics Properties Trust (Public Company),,real estate
National Storage Affiliates Trust,SPTRD2200075,2026-03-16 00:00:00,M&A - Whole,Announced,9943.852256,Public Storage (NYSE:PSA),National Storage Affiliates Trust (NYSE:NSA),Self-Storage REITs,100.0,13.3366759423929,471.141,9943.852256,Yes,21.11,National Storage Affiliates Trust (Public Company),United States and Canada,Public Storage (Public Company),National Storage Affiliates Trust (Public Company),real estate
"Nationwide Health Properties, Inc.",SPTRD156886,2011-02-28 00:00:00,M&A - Whole,Completed,7110.175416,"Ventas, Inc. (NYSE:VTR)","Nationwide Health Properties, Inc. (:NHP)",Health Care REITs,100.0,,384.886,7110.175416,Yes,20.66,,United States and Canada,"Ventas, Inc. (Public Company)",,real estate
New Senior Investment Group Inc.,SPTRD1889824,2021-06-28 00:00:00,M&A - Whole,Completed,2248.85592,"Ventas, Inc. (NYSE:VTR)",New Senior Investment Group Inc. (:SNR),Health Care REITs,100.0,6.90992788118535,94.158,2248.85592,Yes,21.35,,United States and Canada,"Ventas, Inc. (Public Company)",,real estate
"NorthStar Healthcare Income, Inc.",SPTRD2128972,2025-01-29 00:00:00,M&A - Whole,Completed,1012.056681,Welltower Inc. (NYSE:WELL),"NorthStar Healthcare Income, Inc. (OTCEM:NHHS)",Health Care REITs,100.0,5.43782877470045,196.665,1012.056681,Yes,9.4,,United States and Canada,Welltower Inc. (Public Company),,real estate
OneREIT,SPTRD571297,2017-08-04 00:00:00,M&A - Whole,Completed,898.376337783825,SmartCentres Real Estate Investment Trust (TSX:SRU.UN); Salthill Capital,OneREIT (:ONR.UN),Retail REITs,100.0,9.35297144357043,46.3341583659801,898.376337783825,Yes,18.26,,United States and Canada,SmartCentres Real Estate Investment Trust (Public Company),,real estate
Orion Properties Inc.,SPTRD2154338,2025-06-20 00:00:00,M&A - Whole,Terminated/Withdrawn,645.060004,"Kawa Capital Management, Inc.",Orion Properties Inc. (NYSE:ONL),Office REITs,90.25864,4.26440979741079,,645.060004,Yes,18.29,Orion Properties Inc. (Public Company),United States and Canada,,Orion Properties Inc. (Public Company),real estate
"Pacific Oak Strategic Opportunity REIT II, Inc.",SPTRD1709880,2020-02-19 00:00:00,M&A - Whole,Completed,641.581862,"Pacific Oak Strategic Opportunity REIT, Inc. (OTCPK:PCOK)","Pacific Oak Strategic Opportunity REIT II, Inc.",Diversified REITs,100.0,8.84598848212913,15.516,641.581862,Yes,20.4,,United States and Canada,"Pacific Oak Strategic Opportunity REIT, Inc. (Public Company)",,real estate
"Paladin Realty Income Properties, Inc.",SPTRD188480,2013-07-18 00:00:00,M&A - Whole,Completed,205.431,"Resource REIT, Inc. (:RSRL)","Paladin Realty Income Properties, Inc.",Diversified REITs,100.0,,13.379,205.431,Yes,14.28,"Paladin Realty Income Properties, Inc. (Public Company)",United States and Canada,,"Paladin Realty Income Properties, Inc. (Public Company)",real estate
"Paramount Group, Inc.",SPTRD2169501,2025-09-17 00:00:00,M&A - Whole,Completed,5891.908,Rithm Capital Corp. (NYSE:RITM),"Paramount Group, Inc. (:PGRE)",Office REITs,100.0,8.2241197726431,297.328,5891.908,Yes,17.56,,United States and Canada,Rithm Capital Corp. (Public Company),,real estate
"Parkway Properties, Inc.",SPTRD211942,2016-04-29 00:00:00,M&A - Whole,Completed,3831.830029,Cousins Properties Incorporated (NYSE:CUZ),"Parkway Properties, Inc. (NYSE:PKY)",Office REITs,100.0,8.38489589739423,360.293,3831.830029,Yes,9.65,,United States and Canada,Cousins Properties Incorporated (Public Company),,real estate
"Phillips Edison Grocery Center REIT II, Inc.",SPTRD1462383,2018-07-18 00:00:00,M&A - Whole,Completed,1874.24601,"Phillips Edison & Company, Inc. (NASDAQGS:PECO)","Phillips Edison Grocery Center REIT II, Inc.",Retail REITs,100.0,10.8624333659514,98.157,1874.24601,Yes,20.45,,United States and Canada,"Phillips Edison & Company, Inc. (Public Company)",,real estate
Physicians Realty Trust,SPTRD2050706,2023-10-30 00:00:00,M&A - Whole,Completed,4778.971538,"Healthpeak Properties, Inc. (NYSE:DOC)",Physicians Realty Trust (:DOC),Health Care REITs,100.0,,317.972,4778.971538,Yes,14.93,Physicians Realty Trust (Public Company),United States and Canada,"Healthpeak Properties, Inc. (Public Company)",Physicians Realty Trust (Public Company),real estate
"Plum Creek Timber Company, Inc.",SPTRD206941,2015-11-08 00:00:00,M&A - Whole,Completed,9926.19298,Weyerhaeuser Company (NYSE:WY),"Plum Creek Timber Company, Inc. (:PCL)",Timber REITs,100.0,7.25930387353486,493.0,9926.19298,Yes,21.87,,United States and Canada,Weyerhaeuser Company (Public Company),,real estate
"Plymouth Industrial REIT, Inc.",SPTRD2175551,2025-10-24 00:00:00,M&A - Whole,Completed,2012.106186,Ares Management Corporation (NYSE:ARES); Makarora,"Plymouth Industrial REIT, Inc. (:PLYM)",Industrial REITs,100.0,11.7118421080203,217.65,2012.106186,Yes,7.94,,United States and Canada,Ares Management Corporation (Public Company),,real estate
"Post Properties, Inc.",SPTRD215302,2016-08-15 00:00:00,M&A - Whole,Completed,4503.457191,"Mid-America Apartment Communities, Inc. (NYSE:MAA)","Post Properties, Inc. (NYSE:PPS)",Multi-Family Residential REITs,100.0,12.3605766118335,204.128,4503.457191,Yes,23.8,"Post Properties, Inc. (Public Company)",United States and Canada,"Mid-America Apartment Communities, Inc. (Public Company)","Post Properties, Inc. (Public Company)",real estate
"PS Business Parks, Inc.",SPTRD1956114,2022-04-25 00:00:00,M&A - Whole,Completed,7451.556749,Blackstone Inc. (NYSE:BX); Blackstone Real Estate Partners IX L.P.,Public Storage (NYSE:PSA),Diversified REITs,100.0,16.9739743966124,742.667,7451.556749,Yes,10.68,,United States and Canada,Blackstone Inc. (Public Company),Public Storage (Public Company),real estate
Pure Industrial Real Estate Trust,SPTRD1141298,2018-01-09 00:00:00,M&A - Whole,Completed,2931.52030355142,Blackstone Inc. (NYSE:BX),Pure Industrial Real Estate Trust (:AAR.UN),Industrial REITs,100.0,16.3479140519325,222.085152731501,2931.52030355142,Yes,10.72,,United States and Canada,Blackstone Inc. (Public Company),,real estate
"RE/MAX Holdings, Inc.",SPTRD2207956,2026-04-27 00:00:00,M&A - Whole,Announced,148.434273,The Real Brokerage Inc. (NASDAQCM:REAX),"RE/MAX Holdings, Inc. (NYSE:RMAX)",Real Estate Services,100.0,0.509032112372729,77.176,148.434273,Yes,1.92,"RE/MAX Holdings, Inc. (Public Company)",United States and Canada,The Real Brokerage Inc. (Public Company),"RE/MAX Holdings, Inc. (Public Company)",real estate
"Retail Properties of America, Inc.",SPTRD1894511,2021-07-19 00:00:00,M&A - Whole,Completed,4601.100153,Kite Realty Group Trust (NYSE:KRG),"Retail Properties of America, Inc. (:RPAI)",Retail REITs,100.0,10.6409253124942,266.297,4601.100153,Yes,18.62,,United States and Canada,Kite Realty Group Trust (Public Company),,real estate
"Rouse Properties, Inc.",SPTRD210182,2016-02-25 00:00:00,M&A - Whole,Completed,2595.181446,Brookfield Corporation (TSX:BN),"Rouse Properties, Inc. (:RSE)",Retail REITs,66.504707,9.52365418293034,166.316,2595.181446,Yes,17.34,,United States and Canada,Brookfield Corporation (Public Company),,real estate
RPT Realty,SPTRD2041610,2023-08-28 00:00:00,M&A - Whole,Completed,2075.635487,Kimco Realty Corporation (NYSE:KIM),RPT Realty (:RPT),Retail REITs,100.0,9.10020380536611,166.023,2075.635487,Yes,10.51,,United States and Canada,Kimco Realty Corporation (Public Company),,real estate
Select Income REIT,SPTRD1482811,2018-09-17 00:00:00,M&A - Whole,Completed,3972.746154,Office Properties Income Trust (OTCEM:OPIT.Q),Select Income REIT (NASDAQGM:SIR),Office REITs,100.0,10.552678850976,327.112,3972.746154,Yes,15.4,,United States and Canada,Office Properties Income Trust (Public Company),,real estate
"Sila Realty Trust, Inc.",SPTRD2206717,2026-04-20 00:00:00,M&A - Whole,Announced,2367.180476,Blue Owl Real Estate Capital LLC,"Sila Realty Trust, Inc. (NYSE:SILA)",Health Care REITs,100.0,11.9835395877207,142.619,2367.180476,Yes,16.6,"Sila Realty Trust, Inc. (Public Company)",United States and Canada,,"Sila Realty Trust, Inc. (Public Company)",real estate
SOHO China Limited,SPTRD1887668,2021-06-16 00:00:00,M&A - Whole,Terminated/Withdrawn,5598.52619511355,Blackstone Inc. (NYSE:BX),Capevale Limited (BVI); Boyce Limited,Real Estate Operating Companies,91.0,18.5753884578125,,5598.52619511355,Yes,16.5,SOHO China Limited (Public Company),Asia-Pacific,Blackstone Inc. (Public Company),,real estate
"Spirit Realty Capital, Inc.",SPTRD2050743,2023-10-30 00:00:00,M&A - Whole,Completed,10123.869947,Realty Income Corporation (NYSE:O),"Spirit Realty Capital, Inc. (:SRC)",Retail REITs,100.0,12.5554676469244,710.861,10123.869947,Yes,12.65,,United States and Canada,Realty Income Corporation (Public Company),,real estate
"Steadfast Income REIT, Inc.",SPTRD1604282,2019-08-06 00:00:00,M&A - Whole,Completed,1079.33775,"Steadfast Apartment REIT, Inc. (:STFR)","Steadfast Income REIT, Inc.",Multi-Family Residential REITs,100.0,8.39991884031852,129.302,1079.33775,Yes,8.93,"Steadfast Income REIT, Inc. (Public Company)",United States and Canada,,"Steadfast Income REIT, Inc. (Public Company)",real estate
"Strategic Hotels & Resorts, Inc.",SPTRD205340,2015-09-08 00:00:00,M&A - Whole,Completed,5726.721664,Blackstone Inc. (NYSE:BX),"Strategic Hotels & Resorts, Inc. (:BEE)",Hotel and Resort REITs,100.0,4.50610208066269,312.383,5726.721664,Yes,19.29,,United States and Canada,Blackstone Inc. (Public Company),,real estate
Summit Industrial Income REIT,SPTRD1991636,2022-11-07 00:00:00,M&A - Whole,Completed,4380.50666177246,Dream Industrial Real Estate Investment Trust (TSX:DIR.UN); GIC Real Estate Pte Ltd.,Summit Industrial Income REIT (:SMU.UN),Industrial REITs,100.0,,662.299928819301,4380.50666177246,Yes,11.04,,United States and Canada,Dream Industrial Real Estate Investment Trust (Public Company),,real estate
Taliesin Property Fund Limited,SPTRD1129482,2017-12-20 00:00:00,M&A - Whole,Completed,485.210950172402,Blackstone Inc. (NYSE:BX),Taliesin Property Fund Limited (:TPF),Real Estate Operating Companies,100.0,24.7127020552799,65.93878755337511,485.210950172402,Yes,6.71,,Europe,Blackstone Inc. (Public Company),,real estate
"The Necessity Retail REIT, Inc.",SPTRD2027207,2023-05-23 00:00:00,M&A - Whole,Completed,4037.543244,"Global Net Lease, Inc. (NYSE:GNL)","The Necessity Retail REIT, Inc. (:RTL)",Retail REITs,100.0,8.63624533798907,224.13,4037.543244,Yes,20.0,,United States and Canada,"Global Net Lease, Inc. (Public Company)",,real estate
"TIER REIT, Inc.",SPTRD1556601,2019-03-25 00:00:00,M&A - Whole,Completed,2264.741614,Cousins Properties Incorporated (NYSE:CUZ),"TIER REIT, Inc. (NYSE:TIER)",Office REITs,100.0,10.7064422493444,99.345,2264.741614,Yes,18.58,,United States and Canada,Cousins Properties Incorporated (Public Company),,real estate
"Transcontinental Realty Investors, Inc.",SPTRD1907688,2021-09-22 00:00:00,M&A - Whole,Announced,765.99675,"The Shidler Group, Inc.; Brixton Capital, LP","Transcontinental Realty Investors, Inc. (NYSE:TCI)",Real Estate Operating Companies,100.0,12.3637599870874,38.766,765.99675,Yes,19.76,"Transcontinental Realty Investors, Inc. (Public Company)",United States and Canada,,"Transcontinental Realty Investors, Inc. (Public Company)",real estate
Urstadt Biddle Properties Inc.,SPTRD2026451,2023-05-18 00:00:00,M&A - Whole,Completed,1441.96939,Regency Centers Corporation (NASDAQGS:REG),Urstadt Biddle Properties Inc. (:UBA),Retail REITs,100.0,9.77612614472353,87.638,1441.96939,Yes,16.1,,United States and Canada,Regency Centers Corporation (Public Company),,real estate
"VEREIT, Inc.",SPTRD1877251,2021-04-29 00:00:00,M&A - Whole,Completed,17483.985693,Realty Income Corporation (NYSE:O),"VEREIT, Inc. (:VER)",Diversified REITs,100.0,14.7393427847155,903.456,17483.985693,Yes,18.18,,United States and Canada,Realty Income Corporation (Public Company),,real estate
"Veris Residential, Inc.",SPTRD2196414,2026-02-23 00:00:00,M&A - Whole,Announced,3328.866966,"GIC Real Estate, Inc.; Affinius Capital Advisors LLC; Vista Hill Partners, LLC","Veris Residential, Inc. (NYSE:VRE)",Multi-Family Residential REITs,100.0,11.3500481296733,249.899,3328.866966,Yes,13.32,"Veris Residential, Inc. (Public Company)",United States and Canada,,"Veris Residential, Inc. (Public Company)",real estate
"Watermark Lodging Trust, Inc.",SPTRD1958568,2022-05-06 00:00:00,M&A - Whole,Completed,3576.946862,Brookfield Corporation (TSX:BN); Brookfield Strategic Real Estate Partners IV-B L.P.; Brookfield Strategic Real Estate Partners IV-C L.P.; Brookfield Strategic Real Estate Partners IV-C (Er) Scsp; Brookfield Strategic Real Estate Partners IV-A L.P.; BSREP IV Brookfield L.P.,"Watermark Lodging Trust, Inc. (:CRYW)",Hotel and Resort REITs,100.0,4.91201000782406,255.242,3576.946862,Yes,16.24,,United States and Canada,Brookfield Corporation (Public Company),,real estate
Weingarten Realty Investors,SPTRD1874272,2021-04-15 00:00:00,M&A - Whole,Completed,6132.553252,Kimco Realty Corporation (NYSE:KIM),Weingarten Realty Investors (:WRI),Retail REITs,100.0,13.1514754852051,315.831,6132.553252,Yes,18.83,Weingarten Realty Investors (Public Company),United States and Canada,Kimco Realty Corporation (Public Company),Weingarten Realty Investors (Public Company),real estate
Whitestone REIT,SPTRD2084979,2024-06-03 00:00:00,M&A - Whole,Terminated/Withdrawn,1324.16348,MCB PR Capital LLC,Whitestone REIT (NYSE:WSR),Retail REITs,90.6,9.59118716687872,,1324.16348,Yes,15.74,Whitestone REIT (Public Company),United States and Canada,,Whitestone REIT (Public Company),real estate
Whitestone REIT,SPTRD2177091,2025-11-04 00:00:00,M&A - Whole,Announced,1346.5519,MCB PR Capital LLC,Whitestone REIT (NYSE:WSR),Retail REITs,90.81,8.98560657971455,113.558,1346.5519,Yes,13.06,Whitestone REIT (Public Company),United States and Canada,,Whitestone REIT (Public Company),real estate
