Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
Aayush Art and Bullion Limited,SPTRD2048833,2023-10-16,M&A - Minority,Terminated/Withdrawn,33.58749,Arhat Touch Private Limited,Aayush Art and Bullion Limited (BSE:540718),,,,,,,,,,,36.2674527593181,0.924612201302336,,,"Apparel, Accessories and Luxury Goods",Aayush Art and Bullion Limited (Public Company),,"Aayush Art and Bullion Limited (17,560.0)",,"Aayush Art and Bullion Limited (17,560.0)",26,Asia-Pacific,Aayush Art and Bullion Limited (Public Company),"Aayush Art and Bullion Limited (17,560.0)",,"Aayush Art and Bullion Limited (17,560.0)"
TCNS Clothing Co. Limited,SPTRD2025886,2023-05-05,M&A - Minority,Completed,9412.426231,Aditya Birla Fashion and Retail Limited (NSEI:ABFRL),TCNS Clothing Co. Limited (:TCNSBRANDS),,,56977400,5242030,,,12015890,,8751200,226070,30.2800579726908,3.13740157208496,,,"Apparel, Accessories and Luxury Goods",,Aditya Birla Fashion and Retail Limited (Public Company),"TCNS Clothing Co. Limited (43,022.7)","Aditya Birla Fashion and Retail Limited (117,910.3)","TCNS Clothing Co. Limited (43,022.7)",29,Asia-Pacific,,"TCNS Clothing Co. Limited (43,022.7)",,"TCNS Clothing Co. Limited (43,022.7)"
Lunar Enterprise Private Limited,SPTRD1962922,2022-05-27,M&A - Whole,Completed,151.5,Menon Pistons Limited (BSE:531727),Lunar Enterprise Private Limited,,,287814,,,,130624,,15838,,4.8938850663824,1.15981749142577,,,Automotive Parts and Equipment,,Menon Pistons Limited (Public Company),,"Menon Pistons Limited (2,999.2)",,100,Asia-Pacific,,,"Menon Pistons Limited (2,999.2)",
Federal-Mogul Goetze (India) Limited,SPTRD1945351,2022-02-23,M&A - Minority,Announced,4114.465259,,Federal-Mogul Goetze (India) Limited (BSE:505744),,,,-1776887,,,13426197,,,1866184,9.22414133752392,1.14324155023198,,,Automotive Parts and Equipment,Federal-Mogul Goetze (India) Limited (Public Company),,"Federal-Mogul Goetze (India) Limited (18,978.5)",,"Federal-Mogul Goetze (India) Limited (18,978.5)",25.02,Asia-Pacific,Federal-Mogul Goetze (India) Limited (Public Company),"Federal-Mogul Goetze (India) Limited (18,978.5)",,"Federal-Mogul Goetze (India) Limited (18,978.5)"
Butterfly Gandhimathi Appliances Limited,SPTRD1944773,2022-02-22,M&A - Minority,Completed,6665.747988,Crompton Greaves Consumer Electricals Limited (NSEI:CROMPTON),Butterfly Gandhimathi Appliances Limited (BSE:517421),,,8262800,519645,,,10053040,,8594500,13550,32.2906194639033,2.94390957767375,,,Household Appliances,Butterfly Gandhimathi Appliances Limited (Public Company),Crompton Greaves Consumer Electricals Limited (Public Company),"Butterfly Gandhimathi Appliances Limited (10,063.6)","Crompton Greaves Consumer Electricals Limited (167,296.8)","Butterfly Gandhimathi Appliances Limited (10,063.6)",26.000004,Asia-Pacific,Butterfly Gandhimathi Appliances Limited (Public Company),"Butterfly Gandhimathi Appliances Limited (10,063.6)",,"Butterfly Gandhimathi Appliances Limited (10,063.6)"
Butterfly Gandhimathi Appliances Limited,SPTRD1945038,2022-02-22,M&A - Whole,Completed,13760.627862,Crompton Greaves Consumer Electricals Limited (NSEI:CROMPTON),LLM Appliances Limited; VM Chettiar & Sons India LLP,,,-8530600,-36129,,,8696381,,13711800,329982,31.5937869033174,2.88037991849713,,,Household Appliances,Butterfly Gandhimathi Appliances Limited (Public Company),Crompton Greaves Consumer Electricals Limited (Public Company),"Butterfly Gandhimathi Appliances Limited (10,063.6)","Crompton Greaves Consumer Electricals Limited (167,296.8)",,55.000005,Asia-Pacific,,"Butterfly Gandhimathi Appliances Limited (10,063.6)",,
Mehai Technology Limited,SPTRD1912718,2021-10-18,M&A - Whole,Completed,18.595234,Dynamic Services & Security Limited (NSEI:DYNAMIC),Mehai Technology Limited (BSE:540730),,,119366,7423,,,88710,,79463,7520,7.35369854639895,0.423659954067468,,,Computer and Electronics Retail,Mehai Technology Limited (Public Company),Dynamic Services & Security Limited (Public Company),"Mehai Technology Limited (1,807.8)","Dynamic Services & Security Limited (5,101.7)","Mehai Technology Limited (1,807.8)",71.952381,Asia-Pacific,Mehai Technology Limited (Public Company),"Mehai Technology Limited (1,807.8)","Dynamic Services & Security Limited (5,101.7)","Mehai Technology Limited (1,807.8)"
Brain4ce Education Solutions Pvt. Ltd.,SPTRD1907899,2021-09-23,M&A - Whole,Completed,2450.0,Veranda Learning Solutions Limited (NSEI:VERANDA),Brain4ce Education Solutions Pvt. Ltd.,,,102680,,,,799669,,11910,,5.16847106078122,3.06376763385851,,,Education Services,,Veranda Learning Solutions Limited (Public Company),,"Veranda Learning Solutions Limited (18,364.5)",,100,Asia-Pacific,,,"Veranda Learning Solutions Limited (18,364.5)",
Axiom Cordages Limited,SPTRD1808463,2021-02-25,M&A - Minority,Completed,1399.99261,Responsive Industries Limited (BSE:505509),Financierings-Maatschappij voor Ontwikkelingslanden N.V.; BanyanTree Finance Pvt. Ltd.; BanyanTree Growth Capital Fund,,,1512280,-7680,,,854220,,487470,26300,44.4791385396825,4.24282169015222,,,Textiles,,Responsive Industries Limited (Public Company),,"Responsive Industries Limited (42,865.1)",,31.68,Asia-Pacific,,,"Responsive Industries Limited (42,865.1)",
Red Apple Kitchen Consultancy Private Limited,SPTRD1893220,2019-12-31,M&A - Whole,Completed,574.87584,United Foodbrands Limited (NSEI:UFBL),Samar Retail Private Limited,,,6262410,,,,378210,,66440,,4.0682626405592,2.47757313132916,,,Restaurants,,United Foodbrands Limited (Public Company),,"United Foodbrands Limited (20,431.0)",,61.35,Asia-Pacific,,,"United Foodbrands Limited (20,431.0)",
S R K Industries Limited,SPTRD1583758,2019-06-10,M&A - Minority,Completed,13.602316,,RRIL Limited (BSE:531307),,,,-9290.964,,,1150860.446,,,9290.964,6.29272435375416,0.0376003886052402,,,Distributors,RRIL Limited (Public Company),,"RRIL Limited (2,230.1)",,"RRIL Limited (2,230.1)",50.000013,Asia-Pacific,RRIL Limited (Public Company),"RRIL Limited (2,230.1)",,"RRIL Limited (2,230.1)"
Robert Bosch Automotive Steering Private Limited,SPTRD1599560,2019-05-28,M&A - Minority,Completed,625.0,Robert Bosch Automotive Steering GmbH,ZF Steering Gear (India) Limited (BSE:505163),,,-102001373.94,,,,3103920,,529291504.463,,2.64934477042065,0.784658159359777,,,Automotive Parts and Equipment,,,,,"ZF Steering Gear (India) Limited (8,599.7)",26,Asia-Pacific,ZF Steering Gear (India) Limited (Public Company),,,"ZF Steering Gear (India) Limited (8,599.7)"
Soktas India Private Limited,SPTRD1549019,2019-03-05,M&A - Whole,Completed,,Grasim Industries Limited (NSEI:GRASIM),Söktas Tekstil Sanayi Ve Ticaret A.S. (IBSE:SKTAS),,,,,,,1861700,,,,5.32258064516129,0.886286727184831,,,Textiles,,Grasim Industries Limited (Public Company),,"Grasim Industries Limited (4,310,430.7)","Söktas Tekstil Sanayi Ve Ticaret A.S. (5,034.3)",100,Asia-Pacific,Söktas Tekstil Sanayi Ve Ticaret A.S. (Public Company),,,"Söktas Tekstil Sanayi Ve Ticaret A.S. (5,034.3)"
Federal-Mogul Goetze (India) Limited,SPTRD1425278,2018-04-16,M&A - Minority,Completed,8107.048493,Tenneco LLC (:TEN),Nippon Life India Asset Management Limited (NSEI:NAM.INDIA),,,378913871.6,-118634,,,13418299,,40140387.6,348779,16.4911461138535,2.80595182772421,,,Automotive Parts and Equipment,Federal-Mogul Goetze (India) Limited (Public Company),,"Federal-Mogul Goetze (India) Limited (18,978.5)",,"Nippon Life India Asset Management Limited (671,357.5)",25.015537,Asia-Pacific,Nippon Life India Asset Management Limited (Public Company),"Federal-Mogul Goetze (India) Limited (18,978.5)",,
MT Educare Limited,SPTRD1368561,2018-02-15,M&A - Minority,Completed,781.222155,Zee Learn Limited (BSE:533287),MT Educare Limited (BSE:534312),,,2211340,1548255,,,2226241,,368900,179117,12.7705118303291,2.1573812165358,,,Education Services,MT Educare Limited (Public Company),Zee Learn Limited (Public Company),"MT Educare Limited (1,344.2)","Zee Learn Limited (5,728.6)","MT Educare Limited (1,344.2)",26,Asia-Pacific,MT Educare Limited (Public Company),"MT Educare Limited (1,344.2)","Zee Learn Limited (5,728.6)","MT Educare Limited (1,344.2)"
Igarashi Motors India Limited,SPTRD818700,2017-05-03,M&A - Minority,Completed,526.437552,Agile Electric Sub Assembly Private Limited,Igarashi Motors India Limited (BSE:517380),,,5969681.13199467,-915812,,,4726752,,1761280.43916204,1177922,19.3607648442392,4.62597801950324,,,Automotive Parts and Equipment,Igarashi Motors India Limited (Public Company),,"Igarashi Motors India Limited (12,059.4)",,"Igarashi Motors India Limited (12,059.4)",26,Asia-Pacific,Igarashi Motors India Limited (Public Company),"Igarashi Motors India Limited (12,059.4)",,"Igarashi Motors India Limited (12,059.4)"
Sona Koyo Steering Systems Limited,SPTRD822947,2017-02-01,M&A - Minority,Completed,4192.831776,JTEKT Corporation (TSE:6473),Sona Autocomp Holding Private Limited,,,67162487.237624,1814647,,,15831921,,42073747.023476,564158,10.8470355799938,1.35163107354289,,,Automotive Parts and Equipment,JTEKT India Limited (Public Company),JTEKT Corporation (Public Company),"JTEKT India Limited (36,474.7)","JTEKT Corporation (417,516.6)",,25.113685,Asia-Pacific,,"JTEKT India Limited (36,474.7)",,
Sona Koyo Steering Systems Limited,SPTRD822770,2017-02-01,M&A - Minority,Completed,4212.681396,JTEKT Corporation (TSE:6473),JTEKT India Limited (BSE:520057),,,67162487.237624,1814647,,,15831921,,42073747.023476,564158,10.8464582316296,1.35155913112291,,,Automotive Parts and Equipment,JTEKT India Limited (Public Company),JTEKT Corporation (Public Company),"JTEKT India Limited (36,474.7)","JTEKT Corporation (417,516.6)","JTEKT India Limited (36,474.7)",26,Asia-Pacific,JTEKT India Limited (Public Company),"JTEKT India Limited (36,474.7)",,"JTEKT India Limited (36,474.7)"
Soma Textiles & Industries Limited,SPTRD827268,2016-11-16,M&A - Minority,Completed,38.223403,KGPL Industries & Finvest Pvt. Ltd.,Soma Textiles & Industries Limited (BSE:521034),,,,1510405,,,1702368,,,112893,44.4297444903581,1.09896783832873,,,Textiles,Soma Textiles & Industries Limited (Public Company),,"Soma Textiles & Industries Limited (2,749.1)",,"Soma Textiles & Industries Limited (2,749.1)",26,Asia-Pacific,Soma Textiles & Industries Limited (Public Company),"Soma Textiles & Industries Limited (2,749.1)",,"Soma Textiles & Industries Limited (2,749.1)"
R & B Denims Limited,SPTRD789495,2015-11-30,M&A - Minority,Completed,18.2,Rawatkhedia Processors Private Limited; Borana Filaments Private Limited,R & B Denims Limited (BSE:538119),,,,357975.83,,,1548788.55,,,22376.73,4.37237952153091,0.33730160582794,,,Textiles,R & B Denims Limited (Public Company),,"R & B Denims Limited (5,086.0)",,"R & B Denims Limited (5,086.0)",26,Asia-Pacific,R & B Denims Limited (Public Company),"R & B Denims Limited (5,086.0)",,"R & B Denims Limited (5,086.0)"
Swaraj Automotives Limited,SPTRD841658,2015-10-16,M&A - Minority,Completed,49.189913,b4S Solutions Pvt. Ltd.,Mahindra & Mahindra Limited (NSEI:M&M),,,,-76613,,,938292,,,76613,7.17529613446279,0.285270733417742,,,Automotive Parts and Equipment,Sal Automotive Limited (Public Company),,"Sal Automotive Limited (1,245.8)",,"Mahindra & Mahindra Limited (4,690,463.8)",25.818686,Asia-Pacific,Mahindra & Mahindra Limited (Public Company),"Sal Automotive Limited (1,245.8)",,
Swaraj Automotives Limited,SPTRD853385,2015-10-16,M&A - Whole,Completed,167.157588,b4S Solutions Pvt. Ltd.,Mahindra & Mahindra Limited (NSEI:M&M),,,,-76613,,,938292,,,76613,7.17525828329402,0.285269228555716,,,Automotive Parts and Equipment,Sal Automotive Limited (Public Company),,"Sal Automotive Limited (1,245.8)",,"Mahindra & Mahindra Limited (4,690,463.8)",71.19,Asia-Pacific,Mahindra & Mahindra Limited (Public Company),"Sal Automotive Limited (1,245.8)",,
The Leela Goa,SPTRD854701,2015-09-19,M&A - Whole,Completed,7250.0,Ceres Hotel Private Limited,HLV Limited (NSEI:HLVLTD),,,,,,,1189000,,,,13.7310606060606,6.09756097560976,,,"Hotels, Resorts and Cruise Lines",,,,,"HLV Limited (5,082.2)",100,Asia-Pacific,HLV Limited (Public Company),,,"HLV Limited (5,082.2)"
Thomas Cook (India) Limited,SPTRD375678,2015-03-12,M&A - Minority,Completed,16891.528401,Hamblin Watsa Investment Counsel Ltd.; HWIC Asia Fund,Thomas Cook (India) Limited (BSE:500413),,,,-1863422.387,,,12955646.876,,,3675841.025,38.0520925108145,4.38103697617329,,,"Hotels, Resorts and Cruise Lines",Thomas Cook (India) Limited (Public Company),,"Thomas Cook (India) Limited (32,664.3)",,"Thomas Cook (India) Limited (32,664.3)",29.76,Asia-Pacific,Thomas Cook (India) Limited (Public Company),"Thomas Cook (India) Limited (32,664.3)",,"Thomas Cook (India) Limited (32,664.3)"
ZF Steering Gear (India) Limited,SPTRD785077,2014-09-15,M&A - Minority,Completed,173.260674,Robert Bosch Automotive Steering GmbH,ZF Steering Gear (India) Limited (BSE:505163),,,,196660,,,3304520,,,29070,6.98956284363242,1.41669879868635,,,Automotive Parts and Equipment,ZF Steering Gear (India) Limited (Public Company),,"ZF Steering Gear (India) Limited (8,599.7)",,"ZF Steering Gear (India) Limited (8,599.7)",26,Asia-Pacific,ZF Steering Gear (India) Limited (Public Company),"ZF Steering Gear (India) Limited (8,599.7)",,"ZF Steering Gear (India) Limited (8,599.7)"
Kar Mobiles Limited,SPTRD848118,2014-05-20,M&A - Whole,Completed,1234.739,Rane Engine Valve Limited (:532988),Rane Holdings Limited (BSE:505800); Gagandeep Credit Capital Private Limited; Anitya Management Advisory Services Private Limited,,,,303600,,,1199700,,,2400,6.08471035137702,0.534066850045845,,,Automotive Parts and Equipment,,,,"Rane Engine Valve Limited (3,589.2)","Rane Holdings Limited (27,464.8)",100,Asia-Pacific,Rane Holdings Limited (Public Company),,"Rane Engine Valve Limited (3,589.2)","Rane Holdings Limited (27,464.8)"
Super Sales India Limited,SPTRD868566,2014-05-09,M&A - Minority,Completed,368.14999,Lakshmi Cargo Company Limited; Quattro Engineering India Limited,Super Sales India Limited (BSE:512527),,,,789393,,,2180382,,,20643,5.12889838273804,1.01145326828051,,,Textiles,Super Sales India Limited (Public Company),,"Super Sales India Limited (2,751.6)",,"Super Sales India Limited (2,751.6)",26,Asia-Pacific,Super Sales India Limited (Public Company),"Super Sales India Limited (2,751.6)",,"Super Sales India Limited (2,751.6)"
Gujarat Automotive Gears Limited,SPTRD892582,2013-06-24,M&A - Minority,Completed,33.193578,Him Teknoforge Limited Prior to Merger with Gujarat Automotive Gears Limited; Globe Precision Industries Private Limited,Him Teknoforge Limited (BSE:505712),,,,-59626.069,,,241009.608,,,62412.799,5.94845808516731,1.40377777387199,,,Automotive Parts and Equipment,Him Teknoforge Limited (Public Company),,"Him Teknoforge Limited (3,858.3)",,"Him Teknoforge Limited (3,858.3)",26,Asia-Pacific,Him Teknoforge Limited (Public Company),"Him Teknoforge Limited (3,858.3)",,"Him Teknoforge Limited (3,858.3)"
Gujarat Automotive Gears Limited,SPTRD893614,2013-06-24,M&A - Whole,Completed,159.246431,Him Teknoforge Limited Prior to Merger with Gujarat Automotive Gears Limited; Globe Precision Industries Private Limited,Him Teknoforge Limited (BSE:505712),,,,-59626.069,,,241009.608,,,62412.799,5.94845808516731,1.40377777387199,,,Automotive Parts and Equipment,Him Teknoforge Limited (Public Company),,"Him Teknoforge Limited (3,858.3)",,"Him Teknoforge Limited (3,858.3)",55,Asia-Pacific,Him Teknoforge Limited (Public Company),"Him Teknoforge Limited (3,858.3)",,"Him Teknoforge Limited (3,858.3)"
Saint-Gobain Sekurit India Limited,SPTRD896501,2013-04-19,M&A - Whole,Terminated/Withdrawn,1322.155007,Grindwell Norton Limited (BSE:506076),Saint-Gobain Sekurit France SAS; Saint-Gobain India Pvt. Ltd.,,,,,,,,,,,9.21567610855106,1.2179563381528,,,Automotive Parts and Equipment,Saint-Gobain Sekurit India Limited (Public Company),Grindwell Norton Limited (Public Company),"Saint-Gobain Sekurit India Limited (7,388.7)","Grindwell Norton Limited (171,322.9)",,100,Asia-Pacific,,"Saint-Gobain Sekurit India Limited (7,388.7)",,
Sayaji Hotels Limited,SPTRD898653,2013-02-06,M&A - Minority,Completed,2097.89465,,Trans Agro India Pvt Ltd,,,,1760558,,,3015523,,,52405,7.48454214886009,1.63751489100424,,,"Hotels, Resorts and Cruise Lines",Sayaji Hotels Limited (Public Company),,"Sayaji Hotels Limited (6,629.0)",,,26,Asia-Pacific,,"Sayaji Hotels Limited (6,629.0)",,
Thomas Cook (India) Limited,SPTRD502901,2012-05-21,M&A - Whole,Completed,7001.08245,Fairbridge Capital Private Limited,Thomas Cook UK Limited; TCIM Limited,,,,-377069.005,,,3737926.711,,,3116533.915,11.6451742483578,2.71577193611809,,,"Hotels, Resorts and Cruise Lines",Thomas Cook (India) Limited (Public Company),,"Thomas Cook (India) Limited (32,664.3)",,,77.11,Asia-Pacific,,"Thomas Cook (India) Limited (32,664.3)",,
Vaibhav Gems Limited,SPTRD914001,2012-03-28,M&A - Minority,Completed,364.417505,Shivram Global Pvt. Ltd,Vaibhav Global Limited (NSEI:VAIBHAVGBL),,,,1470731.248,,,6464960.477,,,317534.485,3.43409820986887,0.402890786922285,,,"Apparel, Accessories and Luxury Goods",Vaibhav Global Limited (Public Company),,"Vaibhav Global Limited (36,668.6)",,"Vaibhav Global Limited (36,668.6)",33.12,Asia-Pacific,Vaibhav Global Limited (Public Company),"Vaibhav Global Limited (36,668.6)",,"Vaibhav Global Limited (36,668.6)"
Kamat Hotels (India) Limited,SPTRD406684,2012-01-11,M&A - Minority,Completed,233.84025,Fiera Capital (Asia); Clearwater Capital Partners Cyprus Ltd.; Clearwater Capital Partners Singapore Fund III Private Ltd,Kamat Hotels (India) Limited (NSEI:KAMATHOTEL),,,,5872505,,,1583615,,,148158,22.1191138530895,6.87222756185032,,,"Hotels, Resorts and Cruise Lines",Kamat Hotels (India) Limited (Public Company),,"Kamat Hotels (India) Limited (7,393.2)",,"Kamat Hotels (India) Limited (7,393.2)",26,Asia-Pacific,Kamat Hotels (India) Limited (Public Company),"Kamat Hotels (India) Limited (7,393.2)",,"Kamat Hotels (India) Limited (7,393.2)"
Overseas Synthetics Limited,SPTRD921171,2011-11-22,M&A - Whole,Completed,12.169928,,One Global Service Provider Limited (BSE:514330),,,,-369.573,,,,,,369.573,24.7661225575799,10.2869626445158,,,Other Specialty Retail,One Global Service Provider Limited (Public Company),,"One Global Service Provider Limited (10,750.7)",,"One Global Service Provider Limited (10,750.7)",58.83,Asia-Pacific,One Global Service Provider Limited (Public Company),"One Global Service Provider Limited (10,750.7)",,"One Global Service Provider Limited (10,750.7)"
