Target/Issuer Name,MI Transaction ID,"Announced Date
MM/dd/yyyy",Transaction Type,Transaction Status,"Total Transaction Value
(₹M)",Buyers/Investors Name,Sellers Name,"Debt Percent of Total Value
(%)","Target Debt Value
(₹000)","Buyer: CIQ Net Debt
(₹000)","Target: CIQ Net Debt
(₹000)","Buyer: Total Revenue
(₹000)","Buyer: EBITDA
(₹000)","Target: CIQ Total Revenue
(₹000)","Target: EBITDA
(₹000)","Buyer: CIQ Cash and Short Term Investments
(₹000)","Target: CIQ Cash and Short Term Investments
(₹000)","Implied Enterprise Value/ EBITDA
(x)","Implied Enterprise Value/ Total Revenue
(x)","Recurring EBITDA Margin
(%)","Return on Capital
(%)",Transaction Industry (CIQ/GICS),"Company Type
(Target/Issuer)","Company Type
(Buyer/Investor)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (> 1,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (> 1,000) [Current]","Percent of Equity Ownership Acquired
(%)",Transaction Geography,"Company Type
(Seller)","Total Enterprise Value (CIQ) (₹M)
(Target/Issuer) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Buyer/Investor) (< 50,000) [Current]","Total Enterprise Value (CIQ) (₹M)
(Seller) (< 50,000) [Current]"
Stylam Industries Limited,SPTRD2186765,2025-12-26,M&A - Minority,Completed,10342.728,"Aica Kogyo Company, Limited (TSE:4206)",Stylam Industries Limited (BSE:526951),,,-21848992.337667,-139023,,,10250894,,34718042.221654,499734,20.4333242459069,3.70641929728275,,,Building Products,Stylam Industries Limited (Public Company),"Aica Kogyo Company, Limited (Public Company)","Stylam Industries Limited (37,844.6)","Aica Kogyo Company, Limited (130,718.0)","Stylam Industries Limited (37,844.6)",27.12268,Asia-Pacific,Stylam Industries Limited (Public Company),"Stylam Industries Limited (37,844.6)",,"Stylam Industries Limited (37,844.6)"
Stylam Industries Limited,SPTRD2186050,2025-12-26,M&A - Minority,Announced,9914.616,"Aica Kogyo Company, Limited (TSE:4206)",Stylam Industries Limited (BSE:526951),,,-21848992.337667,-139023,,,10250894,,34718042.221654,499734,20.4333248869674,3.70641941356529,,,Building Products,Stylam Industries Limited (Public Company),"Aica Kogyo Company, Limited (Public Company)","Stylam Industries Limited (37,844.6)","Aica Kogyo Company, Limited (130,718.0)","Stylam Industries Limited (37,844.6)",26.000002,Asia-Pacific,Stylam Industries Limited (Public Company),"Stylam Industries Limited (37,844.6)",,"Stylam Industries Limited (37,844.6)"
Morganite Crucible (India) Limited,SPTRD2169597,2025-08-22,M&A - Minority,Completed,154.283979,Foseco India Limited (BSE:500150),Foseco Crucible (India) Limited (BSE:523160); Morgan Terrassen BV; Morganite Crucible Limited,,,,-201573,,,1765055,,,211940,19.6860913072114,4.82617652141151,,,Industrial Machinery and Supplies and Components,Foseco Crucible (India) Limited (Public Company),Foseco India Limited (Public Company),"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)","Foseco Crucible (India) Limited (8,248.9)",25,Asia-Pacific,Foseco Crucible (India) Limited (Public Company),"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)","Foseco Crucible (India) Limited (8,248.9)"
Morganite Crucible (India) Limited,SPTRD2165595,2025-08-22,M&A - Whole,Completed,6022.47126,Foseco India Limited (BSE:500150),Morgan Terrassen BV; Morganite Crucible Limited,,,,-201573,,,1765055,,,211940,19.4725196029719,4.77381799434012,,,Industrial Machinery and Supplies and Components,Foseco Crucible (India) Limited (Public Company),Foseco India Limited (Public Company),"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)",,75,Asia-Pacific,,"Foseco Crucible (India) Limited (8,248.9)","Foseco India Limited (32,641.9)",
PSP Projects Limited,SPTRD2115467,2024-11-19,M&A - Minority,Completed,,Adani Infra (India) Limited,PSP Projects Limited (NSEI:PSPPROJECT),,,,637153,,,25121257,,,2078148,9.6296409855508,1.00060722120003,,,Construction and Engineering,PSP Projects Limited (Public Company),,"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)",30.07,Asia-Pacific,PSP Projects Limited (Public Company),"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)"
PSP Projects Limited,SPTRD2115468,2024-11-19,M&A - Minority,Completed,2880.405078,Adani Infra (India) Limited,PSP Projects Limited (NSEI:PSPPROJECT),,,,637153,,,25121257,,,2078148,10.6513103794462,1.1067679570722,,,Construction and Engineering,PSP Projects Limited (Public Company),,"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)",26.000001,Asia-Pacific,PSP Projects Limited (Public Company),"PSP Projects Limited (30,750.7)",,"PSP Projects Limited (30,750.7)"
Bharat Battery Mfg. Co. Private Limited,SPTRD2100275,2024-08-28,M&A - Whole,Completed,450.00005,Dynamic Services & Security Limited (NSEI:DYNAMIC),Bharat Battery Mfg. Co. Private Limited,,,333853,,,,,,9507,,6.50409888517382,2.27752037751615,,,Electrical Components and Equipment,,Dynamic Services & Security Limited (Public Company),,"Dynamic Services & Security Limited (5,101.7)",,100,Asia-Pacific,,,"Dynamic Services & Security Limited (5,101.7)",
M. R. Organisation Limited,SPTRD2093990,2024-07-27,M&A - Whole,Announced,1114.271629,Aeroflex Enterprises Limited (BSE:511076),M. R. Organisation Limited (:MRO),,,-2731073,-40819.892,,,755730.725,,3361699,94089.515,10.191179403660101,1.64419605276734,,,Industrial Machinery and Supplies and Components,,Aeroflex Enterprises Limited (Public Company),,"Aeroflex Enterprises Limited (10,231.7)",,90,Asia-Pacific,,,"Aeroflex Enterprises Limited (10,231.7)",
Navkar Corporation Limited,SPTRD2088911,2024-06-27,M&A - Whole,Completed,12269.317127,JSW Port Logistics Private Limited,Sidhhartha Corporation Pvt. Ltd.,,,,2142337,,,4407241,,,54344,24.4862753378929,3.75143449518644,,,Marine Ports and Services,Navkar Corporation Limited (Public Company),,"Navkar Corporation Limited (17,954.6)",,,70.369553,Asia-Pacific,,"Navkar Corporation Limited (17,954.6)",,
Windsor Machines Limited,SPTRD2087418,2024-06-19,M&A - Whole,Completed,3941.085,Plutus Investments and Holding Private Limited,Castle Equipments Pvt Ltd,,,-25045.6692338354,331439,,,3539705,,27621.7922056161,26843,31.3100361988703,1.95899517812925,,,Industrial Machinery and Supplies and Components,Windsor Machines Limited (Public Company),,"Windsor Machines Limited (26,797.0)",,,53.90271,Asia-Pacific,,"Windsor Machines Limited (26,797.0)",,
Square Port Shipyard Private Limited,SPTRD2078684,2024-04-22,M&A - Whole,Completed,43.46838,Hazoor Multi Projects Limited (BSE:532467),Square Port Shipyard Private Limited,,,364106.5,,,,756635.031,,739807.9,,0.133095563398855,0.0574496001626443,,,Construction Machinery and Heavy Transportation Equipment,,Hazoor Multi Projects Limited (Public Company),,"Hazoor Multi Projects Limited (12,093.8)",,100,Asia-Pacific,,,"Hazoor Multi Projects Limited (12,093.8)",
Bagadia Chaitra Industries Private Limited,SPTRD2071656,2024-03-11,M&A - Whole,Completed,1249.2,Pitti Engineering Limited (BSE:513519),Pitti Industries Private Limited,,,5396752,,,,2503891,,764954,,3.54341764503987,0.473060865119714,,,Industrial Machinery and Supplies and Components,,Pitti Engineering Limited (Public Company),,"Pitti Engineering Limited (40,664.4)",,100,Asia-Pacific,,,"Pitti Engineering Limited (40,664.4)",
Michigan Engineers Pvt. Ltd.,SPTRD2027538,2023-05-25,M&A - Minority,Completed,701.2,Authum Investment & Infrastructure Limited (BSE:539177),Patel Engineering Limited (BSE:531120),,,10362700,,,,3134417,,6677900,,0.549596060957982,0.545500764895035,,,Construction and Engineering,,Authum Investment & Infrastructure Limited (Public Company),,,"Patel Engineering Limited (36,183.8)",41.01,Asia-Pacific,Patel Engineering Limited (Public Company),,,"Patel Engineering Limited (36,183.8)"
Shreyas Shipping and Logistics Limited,SPTRD2027755,2023-05-21,M&A - Minority,Terminated/Withdrawn,2596.3532,Transworld Holdings Limited,Investor Education and Protection Fund (IEPF); Aryafin-Trade Services India Pvt Ltd; Arya Worldwide Private Limited; Metis Equity Trust; City Mills Private Limited,,,,,,,,,,,5.39701410645019,2.7897625317293,,,Marine Transportation,Transworld Shipping Lines Limited (Public Company),,"Transworld Shipping Lines Limited (5,835.0)",,,29.561076,Asia-Pacific,,"Transworld Shipping Lines Limited (5,835.0)",,
Faber Sindoori Management Services Pvt. Ltd,SPTRD1992228,2022-11-09,M&A - Whole,Completed,700.0,Apollo Sindoori Hotels Limited (NSEI:APOLSINHOT),Edgenta Facilities Sdn Bhd,,,-22883,,,,2113646.128,,253139,,1.96032810672872,0.649375031050609,,,Diversified Support Services,,Apollo Sindoori Hotels Limited (Public Company),,"Apollo Sindoori Hotels Limited (2,997.7)",,51,Asia-Pacific,,,"Apollo Sindoori Hotels Limited (2,997.7)",
Amora Ceramics Private Limited,SPTRD1983899,2022-09-21,M&A - Whole,Completed,36.2,,Somany Ceramics Limited (BSE:531548),,,,,,,456045,,,,0.308693613060912,0.155643394840421,,,Building Products,,,,,"Somany Ceramics Limited (21,454.8)",51,Asia-Pacific,Somany Ceramics Limited (Public Company),,,"Somany Ceramics Limited (21,454.8)"
Allsec Technologies Limited,SPTRD1969240,2022-06-22,M&A - Whole,Terminated/Withdrawn,6330.2312,Quess Corp Limited (NSEI:QUESS),Alldigi Tech Limited (NSEI:ALLDIGI),,,,,,,,,,,8.06398878980892,1.99565926860025,,,Data Processing and Outsourced Services,Alldigi Tech Limited (Public Company),Quess Corp Limited (Public Company),"Alldigi Tech Limited (12,242.7)","Quess Corp Limited (27,756.8)","Alldigi Tech Limited (12,242.7)",100,Asia-Pacific,Alldigi Tech Limited (Public Company),"Alldigi Tech Limited (12,242.7)","Quess Corp Limited (27,756.8)","Alldigi Tech Limited (12,242.7)"
Ador Fontech Limited,SPTRD1963418,2022-05-31,M&A - Whole,Completed,3797.715619,Ador Welding Limited (BSE:517041),Ador Fontech Limited (:530431),,,,,,,,,,,6.84343810858144,0.932379661178716,,,Industrial Machinery and Supplies and Components,,Ador Welding Limited (Public Company),"Ador Fontech Limited (4,371.7)","Ador Welding Limited (17,377.5)","Ador Fontech Limited (4,371.7)",73.68,Asia-Pacific,,"Ador Fontech Limited (4,371.7)","Ador Welding Limited (17,377.5)","Ador Fontech Limited (4,371.7)"
Shapoorji Pallonji Forbes Shipping Limited,SPTRD1969796,2022-05-30,M&A - Minority,Announced,290.0,G.S. Enterprises,Forbes & Company Limited (BSE:502865),,,,,,,469641.672,,,,1.94840844222803,2.46996821014639,,,Marine Transportation,,,,,"Forbes & Company Limited (3,750.8)",25,Asia-Pacific,Forbes & Company Limited (Public Company),,,"Forbes & Company Limited (3,750.8)"
JMC Projects (India) Limited,SPTRD1946491,2022-02-19,M&A - Minority,Completed,7707.259066,Kalpataru Projects International Limited (NSEI:KPIL),JMC Projects (India) Limited (:JMCPROJECT),,,27608900,15155015,,,55188171,,10768900,2803083,8.08661766819578,0.801975347031372,,,Construction and Engineering,,Kalpataru Projects International Limited (Public Company),"JMC Projects (India) Limited (36,104.9)","Kalpataru Projects International Limited (250,047.9)","JMC Projects (India) Limited (36,104.9)",32.318568,Asia-Pacific,,"JMC Projects (India) Limited (36,104.9)",,"JMC Projects (India) Limited (36,104.9)"
Vizag Seaport Private Limited,SPTRD1918586,2021-11-17,M&A - Minority,Completed,264.0,Shripriya Ports Private Limited,AJR Infra and Tolling Limited (NSEI:AJRINFRA),,,,,,,1785491,,,,0.924802063886326,1.06286786099734,,,Marine Ports and Services,,,,,"AJR Infra and Tolling Limited (30,392.9)",33,Asia-Pacific,AJR Infra and Tolling Limited (Public Company),,,"AJR Infra and Tolling Limited (30,392.9)"
Maharashtra Border Check Post Network Limited,SPTRD1900566,2021-08-16,M&A - Minority,Completed,3575.0,Adani Road Transport Limited,Sadbhav Infrastructure Project Limited (NSEI:SADBHIN),,,,,,,1923190,,,,7.0,3.79365448395634,,,Construction and Engineering,,,,,"Sadbhav Infrastructure Project Limited (31,369.0)",49,Asia-Pacific,Sadbhav Infrastructure Project Limited (Public Company),,,"Sadbhav Infrastructure Project Limited (31,369.0)"
Quadpro Eservices Private Limited,SPTRD1813502,2021-03-09,M&A - Whole,Completed,34.557448,Airan Limited (NSEI:AIRAN),Quadpro ITeS Limited (NSEI:QUADPRO),,,66628,-326,,,103495,,29403,2536,5.76308563583319,0.5202320645691,,,Data Processing and Outsourced Services,Quadpro ITeS Limited (Public Company),Airan Limited (Public Company),,"Airan Limited (1,898.6)",,70.445995,Asia-Pacific,Quadpro ITeS Limited (Public Company),Quadpro ITeS Limited (98.4),"Airan Limited (1,898.6)",Quadpro ITeS Limited (98.4)
Vankon Modular Private Limited,SPTRD1803646,2021-02-10,M&A - Minority,Completed,23.14208,Veto Switchgears and Cables Limited (NSEI:VETO),Vankon Modular Private Limited,,,108885.715,,,,650516,,151027.636,,1.44088101658903,0.0813141921182569,,,Electrical Components and Equipment,,Veto Switchgears and Cables Limited (Public Company),,"Veto Switchgears and Cables Limited (2,226.2)",,43.75,Asia-Pacific,,,"Veto Switchgears and Cables Limited (2,226.2)",
Brady & Morris Engineering Company Limited,SPTRD1754681,2020-07-06,M&A - Minority,Terminated/Withdrawn,47.25192,W. H. Brady & Company Limited (BSE:501391); Shivum Holdings Private Limited,Brady & Morris Engineering Company Limited (BSE:505690),,,,,,,,,,,7.18786923929099,0.884688975447463,,,Industrial Machinery and Supplies and Components,Brady & Morris Engineering Company Limited (Public Company),W. H. Brady & Company Limited (Public Company),"Brady & Morris Engineering Company Limited (1,667.1)","W. H. Brady & Company Limited (1,306.1)","Brady & Morris Engineering Company Limited (1,667.1)",26.251067,Asia-Pacific,Brady & Morris Engineering Company Limited (Public Company),"Brady & Morris Engineering Company Limited (1,667.1)","W. H. Brady & Company Limited (1,306.1)","Brady & Morris Engineering Company Limited (1,667.1)"
Snowman Logistics Limited,SPTRD1675281,2019-12-27,M&A - Minority,Completed,1911.486676,Adani Logistics Limited,"Mitsubishi Corporation (TSE:8058); Mitsubishi Logistics Corporation (TSE:9301); International Finance Corporation; NVP Associates, LLC",,,,906383,,,2325493,,,24750,14.0106490388123,3.55118455785504,,,Air Freight and Logistics,Snowman Logistics Limited (Public Company),,"Snowman Logistics Limited (10,238.1)",,"Mitsubishi Corporation (13,944,489.9); Mitsubishi Logistics Corporation (307,417.1)",26,Asia-Pacific,"Mitsubishi Corporation (Public Company)

Mitsubishi Logistics Corporation (Public Company)","Snowman Logistics Limited (10,238.1)",,
Snowman Logistics Limited,SPTRD1675350,2019-12-27,M&A - Minority,Terminated/Withdrawn,2959.181236,Adani Logistics Limited,Gateway Distriparks Limited (:GDL),,,,,,,,,,,14.0108716957316,3.55124099320015,,,Air Freight and Logistics,Snowman Logistics Limited (Public Company),,"Snowman Logistics Limited (10,238.1)",,,40.25,Asia-Pacific,Gateway Distriparks Limited (Public Company),"Snowman Logistics Limited (10,238.1)",,
Gati Limited,SPTRD1659231,2019-12-05,M&A - Minority,Completed,2380.696125,Allcargo Logistics Limited (NSEI:ALLCARGO),Allcargo Gati Limited (:532345),,,3322500,3224890,,,18631940,,2660000,444550,14.6489527689157,0.729462330761048,,,Air Freight and Logistics,,Allcargo Logistics Limited (Public Company),"Allcargo Gati Limited (11,427.4)","Allcargo Logistics Limited (22,084.2)","Allcargo Gati Limited (11,427.4)",26.030063,Asia-Pacific,,"Allcargo Gati Limited (11,427.4)","Allcargo Logistics Limited (22,084.2)","Allcargo Gati Limited (11,427.4)"
Amba Enterprises Limited,SPTRD1621849,2019-10-01,M&A - Minority,Completed,15.677486,,Amba Enterprises Limited (BSE:539196),,,,-38117.695,,,888473.794,,,52872.595,2.91505475289013,0.113844205291214,,,Electrical Components and Equipment,Amba Enterprises Limited (Public Company),,"Amba Enterprises Limited (1,712.3)",,"Amba Enterprises Limited (1,712.3)",26,Asia-Pacific,Amba Enterprises Limited (Public Company),"Amba Enterprises Limited (1,712.3)",,"Amba Enterprises Limited (1,712.3)"
Rapicut Carbides Limited,SPTRD1608142,2019-08-19,M&A - Minority,Completed,41.906391,,Rapicut Carbides Limited (BSE:500360),,,,29228.187,,,462495.854,,,4453.757,5.44931552536879,0.55096812392182,,,Industrial Machinery and Supplies and Components,Rapicut Carbides Limited (Public Company),,"Rapicut Carbides Limited (1,090.5)",,"Rapicut Carbides Limited (1,090.5)",26.000006,Asia-Pacific,Rapicut Carbides Limited (Public Company),"Rapicut Carbides Limited (1,090.5)",,"Rapicut Carbides Limited (1,090.5)"
Rapicut Carbides Limited,SPTRD1608148,2019-08-19,M&A - Minority,Announced,62.640942,,Pragya Equities Pvt. Ltd.,,,,29228.187,,,462495.854,,,4453.757,5.44931561090847,0.550968132570546,,,Industrial Machinery and Supplies and Components,Rapicut Carbides Limited (Public Company),,"Rapicut Carbides Limited (1,090.5)",,,27.767324,Asia-Pacific,,"Rapicut Carbides Limited (1,090.5)",,
SunEdison Infrastructure Limited,SPTRD1600665,2019-07-26,M&A - Minority,Terminated/Withdrawn,13.91869,Avyan Pashupathy Capital Advisors Private Limited,Sherisha Technologies Private Limited,,,,,,,,,,,2.24229052430155,0.280060558259711,,,Electrical Components and Equipment,Refex Renewables & Infrastructure Limited (Public Company),,"Refex Renewables & Infrastructure Limited (6,188.5)",,,31,Asia-Pacific,,"Refex Renewables & Infrastructure Limited (6,188.5)",,
SunEdison Infrastructure Limited,SPTRD1600849,2019-07-26,M&A - Minority,Completed,160.05949,Avyan Pashupathy Capital Advisors Private Limited,SunEdison Infrastructure Limited (BSE:531260),,,,153145.947,,,707150.44,,,86926.559,2.39479621118072,0.299108414611182,,,Electrical Components and Equipment,Refex Renewables & Infrastructure Limited (Public Company),,"Refex Renewables & Infrastructure Limited (6,188.5)",,"Refex Renewables & Infrastructure Limited (6,188.5)",25,Asia-Pacific,Refex Renewables & Infrastructure Limited (Public Company),"Refex Renewables & Infrastructure Limited (6,188.5)",,"Refex Renewables & Infrastructure Limited (6,188.5)"
Kaycee Industries Limited,SPTRD1578450,2019-05-24,M&A - Minority,Completed,10.150475,Salzer Electronics Limited (BSE:517059),Kaycee Industries Limited (BSE:504084),,,1343892,-19605.938,,,250180.963,,132909,30281.654,23.7820146371021,0.803227845917277,,,Electrical Components and Equipment,Kaycee Industries Limited (Public Company),Salzer Electronics Limited (Public Company),"Kaycee Industries Limited (2,980.5)","Salzer Electronics Limited (16,265.4)","Kaycee Industries Limited (2,980.5)",26.00126,Asia-Pacific,Kaycee Industries Limited (Public Company),"Kaycee Industries Limited (2,980.5)","Salzer Electronics Limited (16,265.4)","Kaycee Industries Limited (2,980.5)"
Kaycee Industries Limited,SPTRD1578475,2019-05-24,M&A - Whole,Completed,159.499025,Salzer Electronics Limited (BSE:517059),CMS Computers Limited,,,1343892,-19605.938,,,250180.963,,132909,30281.654,23.7820140453693,0.803227825931744,,,Electrical Components and Equipment,Kaycee Industries Limited (Public Company),Salzer Electronics Limited (Public Company),"Kaycee Industries Limited (2,980.5)","Salzer Electronics Limited (16,265.4)",,72.316055,Asia-Pacific,,"Kaycee Industries Limited (2,980.5)","Salzer Electronics Limited (16,265.4)",
Allsec Technologies Limited,SPTRD1565675,2019-04-17,M&A - Minority,Completed,586.82144,Conneqt Business Solutions Limited,Allsec Technologies Limited (NSEI:ALLDIGI); First Carlyle Ventures Mauritius,,,,-1532900,,,2611600,,,1540300,8.64820227108122,1.28020944937969,,,Data Processing and Outsourced Services,Alldigi Tech Limited (Public Company),,"Alldigi Tech Limited (12,242.7)",,"Alldigi Tech Limited (12,242.7)",25.999838,Asia-Pacific,Alldigi Tech Limited (Public Company),"Alldigi Tech Limited (12,242.7)",,"Alldigi Tech Limited (12,242.7)"
Allsec Technologies Limited,SPTRD1565683,2019-04-17,M&A - Minority,Completed,1718.502445,Conneqt Business Solutions Limited,Alldigi Tech Limited (NSEI:ALLDIGI),,,2298535,-1532900,,,2611600,,5705986,1540300,8.60870676927056,1.27436285686935,,,Data Processing and Outsourced Services,Alldigi Tech Limited (Public Company),,"Alldigi Tech Limited (12,242.7)",,"Alldigi Tech Limited (12,242.7)",35.352669,Asia-Pacific,Alldigi Tech Limited (Public Company),"Alldigi Tech Limited (12,242.7)",,"Alldigi Tech Limited (12,242.7)"
Allsec Technologies Limited,SPTRD1565665,2019-04-17,M&A - Minority,Completed,990.485,Conneqt Business Solutions Limited,"The Carlyle Group Inc. (NASDAQGS:CG); First Carlyle Ventures Mauritius; Carlyle Asia Growth Partners III, L.P.",,,2298535,-1532900,,,2611600,,5705986,1540300,5.8889231557165,0.871748235564405,,,Data Processing and Outsourced Services,Alldigi Tech Limited (Public Company),,"Alldigi Tech Limited (12,242.7)",,,26,Asia-Pacific,The Carlyle Group Inc. (Public Company),"Alldigi Tech Limited (12,242.7)",,
